The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 36 mins
"American Myths and Legends, Volume 1",Andrea Guidry,Length: 7 hrs and 50 mins
The Last Mrs. Parrish,Liv Constantine,Length: 12 hrs
The Demon of Unrest,Erik Larson,Length: 17 hrs and 18 mins
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins
Secrets Worth Keeping,Nikita Parmenter,Length: 13 hrs and 55 mins
The Comfort in the Brave,JA Huss,Length: 8 hrs and 32 mins
People We Meet on Vacation,Emily Henry,Length: 10 hrs and 46 mins
The City and Its Uncertain Walls,"Haruki Murakami,Philip Gabriel - translator",Length: 15 hrs
On the Wild Side,Kristen Proby,Length: Not Yet Known
Hillbilly Elegy,J. D. Vance,Length: 6 hrs and 49 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 8 hrs and 26 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
Secrets and Strife: An Isekai LitRPG,SourpatchHero,Length: 16 hrs and 53 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
Making the Presidency,Lindsay M. Chervinsky,Length: 14 hrs and 1 min
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 27 mins
The Martian,Andy Weir,Length: 10 hrs and 59 mins
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins
My Best Friend Is an Eldritch Horror: Books 1-6,Actus,Length: 70 hrs and 48 mins
"Thinking, Fast and Slow",Daniel Kahneman,Length: 20 hrs and 2 mins
Starship for Rent 5,M.R. Forbes,Length: 9 hrs and 41 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
Apprentice to the Villain,Hannah Nicole Maehrer,Length: 12 hrs and 40 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
The Three Ordinary Voices of God,Matthew Kelly,Length: 4 hrs and 27 mins
Shroud of Night,Andy Clark,Length: 10 hrs and 28 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
Dead Med,Freida McFadden,Length: 10 hrs and 3 mins
The Broken Road,Mark Tufo,Length: 10 hrs and 46 mins
Son of a Gun,Jay Crownover,Length: 8 hrs and 27 mins
The Assassin's Blade,Sarah J. Maas,Length: 12 hrs and 52 mins
The Hunger Games: Special Edition,Suzanne Collins,Length: 10 hrs and 35 mins
The Gate of the Feral Gods,Matt Dinniman,Length: 18 hrs and 3 mins
Play Along,Liz Tomforde,Length: 12 hrs and 32 mins
It Ends with Us,Colleen Hoover,Length: 11 hrs and 11 mins
Sherlock Holmes: The Definitive Collection,"Arthur Conan Doyle,Stephen Fry - introductions",Length: 71 hrs and 57 mins
Verity,Colleen Hoover,Length: 8 hrs and 10 mins
Becoming a Data Head,"Alex J. Gutman,Jordan Goldmeier",Length: 7 hrs and 41 mins
Hábitos atómicos (Español neutro),James Clear,Length: 9 hrs and 1 min
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins
The Anxious Generation,Jonathan Haidt,Length: 10 hrs and 32 mins
Brutal Mercy,Emily Kimelman,Length: 7 hrs and 24 mins
Shadow of Doubt,Brad Thor,Length: 11 hrs and 40 mins
"It's Not Them, It's Only Her",Elle Wright,Length: 8 hrs and 6 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
The Housemaid's Secret,Freida McFadden,Length: 9 hrs and 44 mins
Fall with Me,Becka Mack,Length: 15 hrs and 45 mins
The Perfect Marriage,Jeneva Rose,Length: 8 hrs and 52 mins
Princes of Legacy,"Angel Lawson,Samantha Rue",Length: 18 hrs and 17 mins
The Terminal List,Jack Carr,Length: 12 hrs and 3 mins
The Last Time I Saw You,Liv Constantine,Length: 8 hrs and 40 mins
A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 8 hrs and 23 mins
Everyone in My Family Has Killed Someone,Benjamin Stevenson,Length: 9 hrs and 30 mins
Nexus,Yuval Noah Harari,Length: 17 hrs and 28 mins
The Hedge Wizard 4,Alex Maher,Length: 28 hrs and 11 mins
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Length: 8 hrs and 22 mins
Dungeon Crawler Carl,Matt Dinniman,Length: 13 hrs and 31 mins
The Midnight Feast,Lucy Foley,Length: 10 hrs and 20 mins
In the Air Tonight,Marie Force,Length: 10 hrs and 34 mins
The Power of Vulnerability,Brené Brown,Length: 6 hrs and 30 mins
Marcus Aurelius Meditations - A Modern Translation,"Marcus Aurelius,Felix R. Buchwald",Length: 5 hrs and 55 mins
Prepper: Book 5,Tom Abrahams,Length: 8 hrs and 2 mins
Supercommunicators,Charles Duhigg,Length: 7 hrs and 28 mins
The Heaven & Earth Grocery Store,James McBride,Length: 12 hrs and 21 mins
Never Lie,Freida McFadden,Length: 7 hrs and 21 mins
Out of Control,K. Bromberg,Length: 8 hrs and 16 mins
If You Tell,Gregg Olsen,Length: 10 hrs and 34 mins
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
Curvy Girl Summer,Danielle Allen,Length: 12 hrs and 23 mins
Miss Morton and the Deadly Inheritance,Catherine Lloyd,Length: 8 hrs and 40 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs and 38 mins
Just for the Summer,Abby Jimenez,Length: 11 hrs and 43 mins
Things We Never Got Over,Lucy Score,Length: 16 hrs and 1 min
Earth's First Starfighter Omnibus: Books 1-4,"Han Yang,Michael Angel",Length: 42 hrs and 40 mins
We Forget Nothing,D.D. Black,Length: 7 hrs and 13 mins
Build Fire,Vladimir Savchuk,Length: 6 hrs and 19 mins
The Count of Monte Cristo,Alexandre Dumas,Length: 52 hrs and 41 mins
Corruption Wielder 2,Aaron Shih,Length: 17 hrs and 4 mins
Buy Back Your Time,Dan Martell,Length: 8 hrs and 4 mins
The Secret Hook-Up,Pippa Grant,Length: 7 hrs and 56 mins
The Chaos Agent,Mark Greaney,Length: 17 hrs and 34 mins
Yemayá (Spanish Edition),Mari Silva,Length: 3 hrs and 26 mins
Traditions of Courage,Jeffery H. Haskell,Length: 11 hrs and 38 mins
House of Flame and Shadow,Sarah J. Maas,Length: 29 hrs and 42 mins
A Fire in the Flesh,Jennifer L. Armentrout,Length: 24 hrs and 3 mins
"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,Length: 8 hrs and 49 mins
Fourth Wing,Rebecca Yarros,Length: 21 hrs and 22 mins
All the Colors of the Dark,Chris Whitaker,Length: 14 hrs and 37 mins
Reminders of Him,Colleen Hoover,Length: 10 hrs and 17 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
Demon Mage: Book 3,D. Levesque,Length: 10 hrs and 2 mins
Dude Magnet,Gregory Ashe,Length: 6 hrs and 5 mins
Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins
Zero Sum,John Gilstrap,Length: 10 hrs and 23 mins
A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],Sarah J. Maas,Length: 6 hrs and 11 mins
Tower of Blight,James T. Callum,Length: 15 hrs and 55 mins
Unbroken,Dreia Wells,Length: 8 hrs and 37 mins
Too Late,Colleen Hoover,Length: 10 hrs and 19 mins
Jurassic Park,Michael Crichton,Length: 15 hrs and 10 mins
We’re Gonna Need Cake,Valerie Garcia,Length: 4 hrs and 30 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
A Promised Land,Barack Obama,Length: 29 hrs and 10 mins
A Shadow in the Ember,Jennifer L. Armentrout,Length: 25 hrs and 7 mins
The Thursday Murder Club,Richard Osman,Length: 12 hrs and 26 mins
Regretting You,Colleen Hoover,Length: 11 hrs and 17 mins
"Days of Want Series, Books 1-7",T. L. Payne,Length: 43 hrs and 42 mins
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
A Great Marriage,Frances Mayes,Length: 11 hrs
The Devil's Hand,Jack Carr,Length: 14 hrs and 37 mins
Butcher & Blackbird,Brynne Weaver,Length: 8 hrs and 43 mins
Evil Elves,Mildred Abbott,Length: 8 hrs
The Eye of the World,Robert Jordan,Length: 29 hrs and 57 mins
The Dragon's Blade Trilogy,Michael R. Miller,Length: 45 hrs and 58 mins
Mind Games,Nora Roberts,Length: 14 hrs and 52 mins
Romper el círculo (It Ends with Us) (Español neutro),"Colleen Hoover,Lara Agnelli - traductor",Length: 10 hrs and 39 mins
Rift in the Soul,Faith Hunter,Length: 15 hrs and 21 mins
Swan Song,Elin Hilderbrand,Length: 13 hrs and 39 mins
The God of the Woods,Liz Moore,Length: 14 hrs and 35 mins
The Witches of Scotland: The Dream Dancers: Akashic Chronicles,Steven P Aitchison,Length: 3 hrs and 31 mins
The Great Alone,Kristin Hannah,Length: 15 hrs and 3 mins
Shadow's Secret,Mary Stone,Length: 7 hrs and 38 mins
First Lie Wins,Ashley Elston,Length: 9 hrs and 16 mins
"The Ultimate Classics Collection – Volume One: 15 Novels from Dostoyevsky, Dickens, Tolstoy, Melville, Brontë, & More","Arthur Conan Doyle,Fyodor Dostoyevsky,Leo Tolstoy,Charles Dickens,Jack London,Anthony Trollope,Herman Melville,Anton Chekhov,Emily Brontë,George Eliot,Franz Kafka",Length: 204 hrs
The Witching Hour,Anne Rice,Length: 50 hrs and 1 min
Artemis,Andy Weir,Length: 8 hrs and 57 mins
Trading Price Action Trends,Al Brooks,Length: 17 hrs and 49 mins
Hexblade Warlock,"Jack Spry,Marcus Sloss",Length: 17 hrs and 8 mins
The Four Winds,Kristin Hannah,Length: 15 hrs and 20 mins
Cybersecurity Guard,Joseph Mendoza,Length: 3 hrs and 50 mins
The Love in Duet Collection,Lauren Blakely,Length: 32 hrs and 45 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins
Ugly Love,Colleen Hoover,Length: 9 hrs and 14 mins
Born of Blood and Ash,Jennifer L. Armentrout,Length: 37 hrs and 1 min
Apocalypse Tamer: The Complete Series,"Maxime J. Durand,Void Herald",Length: 78 hrs and 39 mins
