Drumindor,Michael J. Sullivan,Length: 12 hrs and 45 mins
Onyx Storm,Rebecca Yarros,Length: 14 hrs and 15 mins
Ghost in the Deep,"J.N. Chaney,Terry Maggert",Length: 9 hrs and 51 mins
Terran Tactics,Daniel Schinhofen,Length: 9 hrs and 13 mins
The Glitch,Leeanne Slade,Length: 11 hrs and 36 mins
Mark of the Fool 6,J.M. Clarke,Length: 23 hrs and 3 mins
From Blood and Ash (Part 2 of 2) (Dramatized Adaptation),Jennifer L. Armentrout,Length: 7 hrs
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 12 hrs
"Heretical Fishing 3: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,Length: 17 hrs and 46 mins
Meet the Parents,Emily Shiner,Length: 9 hrs and 13 mins
"Two Birds, One Crone",Amanda M. Lee,Length: 10 hrs and 17 mins
Spiraling Down,Michael Marks,Length: 11 hrs and 32 mins
Revenge of the Tipping Point,Malcolm Gladwell,Length: 8 hrs and 30 mins
Resistance,Sean Oswald,Length: 16 hrs and 40 mins
Blood on the Banisters,Benedict Brown,Length: 8 hrs and 31 mins
We Who Wrestle with God,Jordan B. Peterson,Length: 13 hrs
Lunar Interlude: A Dystopian Sci-Fi Adventure,Plum Parrot,Length: 18 hrs and 15 mins
Her Whole Heart,Melanie Rachel,Length: 11 hrs and 5 mins
Bad to the Throne,Eric Ugland,Length: 13 hrs and 17 mins
My Rules,T L Swan,Length: 12 hrs and 19 mins
Main Street Millionaire,Codie Sanchez,Length: 9 hrs
The Game Changer,Maggie Miller,Length: 8 hrs and 41 mins
Bonded in Death,J. D. Robb,Length: 10 hrs and 30 mins
Posing in Paradise,"T.B. Markinson,Miranda MacLeod",Length: 8 hrs and 51 mins
Lobbying for Zionism on Both Sides of the Atlantic,Ilan Pappe,Length: 21 hrs and 48 mins
Forever Burning,Kathleen Brooks,Length: 7 hrs and 6 mins
Impossible Creatures,Katherine Rundell,Length: 8 hrs and 55 mins
Affective Memories,Laurence Luckinbill,Length: 24 hrs and 44 mins
The Lone Survivor,"Robert J. Walker,Marie Wilkens,Clay Wise",Length: 28 hrs and 20 mins
